"T_sat (C)","P_sat (Mpa)"
320.03752711,11.2899016667
320.28320039,11.3266733333
320.528252087,11.363445
320.772685603,11.4002166667
321.016504309,11.4369883333
321.259711546,11.47376
321.502310624,11.5105316667
321.744304823,11.5473033333
321.985697393,11.584075
322.226491558,11.6208466667
322.466690509,11.6576183333
322.706297412,11.69439
322.945315402,11.7311616667
323.183747589,11.7679333333
323.421597053,11.804705
323.65886685,11.8414766667
323.895560005,11.8782483333
324.131679521,11.91502
324.367228371,11.9517916667
324.602209504,11.9885633333
324.836625844,12.025335
325.070480289,12.0621066667
325.30377571,12.0988783333
325.536514957,12.13565
325.768700852,12.1724216667
326.000336196,12.2091933333
326.231423763,12.245965
326.461966306,12.2827366667
326.691966553,12.3195083333
326.921427209,12.35628
327.150350958,12.3930516667
327.378740459,12.4298233333
327.606598349,12.466595
327.833927244,12.5033666667
328.060729737,12.5401383333
328.287008402,12.57691
328.512765787,12.6136816667
328.738004423,12.6504533333
328.962726817,12.687225
329.186935459,12.7239966667
329.410632814,12.7607683333
329.633821331,12.79754
329.856503435,12.8343116667
330.078681534,12.8710833333
330.300358016,12.907855
330.521535249,12.9446266667
330.742215581,12.9813983333
330.962401343,13.01817
331.182094845,13.0549416667
331.40129838,13.0917133333
331.620014221,13.128485
331.838244626,13.1652566667
332.055991831,13.2020283333
332.273258057,13.2388
332.490045505,13.2755716667
332.706356362,13.3123433333
332.922192793,13.349115
333.137556949,13.3858866667
333.352450965,13.4226583333
333.566876955,13.45943
333.780837022,13.4962016667
333.994333248,13.5329733333
334.2073677,13.569745
334.41994243,13.6065166667
334.632059473,13.6432883333
334.843720849,13.68006
335.054928561,13.7168316667
335.265684599,13.7536033333
335.475990934,13.790375
335.685849526,13.8271466667
335.895262317,13.8639183333
336.104231234,13.90069
336.312758193,13.9374616667
336.520845091,13.9742333333
336.728493813,14.011005
336.935706229,14.0477766667
337.142484195,14.0845483333
337.348829553,14.12132
337.554744131,14.1580916667
337.760229743,14.1948633333
337.965288191,14.231635
338.169921262,14.2684066667
338.374130729,14.3051783333
338.577918354,14.34195
338.781285884,14.3787216667
338.984235054,14.4154933333
339.186767587,14.452265
339.38888519,14.4890366667
339.590589561,14.5258083333
