"Temperature (C)","Pressure (MPa)","Density (kg/m3)","Volume (m3/kg)","Internal Energy (kJ/kg)","Enthalpy (kJ/kg)","Entropy (J/g*K)","Cv (J/g*K)","Cp (J/g*K)","Sound Spd. (m/s)","Joule-Thomson (K/MPa)","Viscosity (Pa*s)","Therm. Cond. (W/m*K)",Phase,"Surf. Tension (N/m)","Vapor Pressure (Mpa)","h_fg (kJ/kg)"
16.01,0.101325,998.944437362,0.00100105667803,67.2052050058,67.3066370737,0.239101841448,4.17095545446,4.18740850444,1469.42011025,-0.227819697061,0.00110777563687,0.591238573803,liquid,0.0733355291929,0.00181997891112,2462.961824836
17.01,0.101325,998.776239959,0.00100122525947,71.3921114639,71.4935606132,0.253556470921,4.16746540965,4.18645230716,1472.7877232,-0.227078088457,0.00107951675564,0.593067294345,liquid,0.0731861641313,0.00193958763688,2460.5955574853
18.01,0.101325,998.596783772,0.00100140518801,75.5781009267,75.6795683074,0.267958218923,4.16391588997,4.18557597988,1476.06877855,-0.226346090471,0.00105240200471,0.594884252599,liquid,0.073036224566,0.00206603433821,2458.2291658089
19.01,0.101325,998.406319203,0.00100159622467,79.7632508456,79.8647375831,0.282307713556,4.16030844738,4.18477469372,1479.2647029,-0.22562330886,0.00102636887538,0.596688669478,liquid,0.072885711701,0.00219964743133,2455.8625433726
20.01,0.101325,998.205085663,0.00100179814185,83.9476340084,84.0491412051,0.29660556055,4.15664455477,4.18404394848,1482.37688756,-0.224909368059,0.00100135911943,0.598479795834,liquid,0.0727346267442,0.00234076769717,2453.4955877728
21.01,0.101325,997.993312218,0.00100201072267,88.1313188552,88.2328475917,0.310852344648,4.15292561445,4.18337954754,1485.40669023,-0.224203909883,0.00097731840578,0.60025691351,liquid,0.0725829709078,0.00248974889102,2451.1282002594
22.01,0.101325,997.771218191,0.00100223376037,92.3143697711,92.4159211069,0.325048630877,4.14915296594,4.18277757536,1488.35543646,-0.223506592318,0.00095419600884,0.60201933614,liquid,0.0724307454085,0.0026469575761,2448.7602855426
23.01,0.101325,997.539013717,0.00100246705768,96.4968473564,96.5984223311,0.339194965736,4.14532789301,4.18223437715,1491.2244211,-0.222817088405,0.00093194452513,0.603766409725,liquid,0.0722779514668,0.00281277397048,2446.3917514005
24.01,0.101325,997.296900251,0.0010027104263,100.678808679,100.780408313,0.353291878291,4.14145163015,4.18174654063,1494.01490958,-0.222135085202,0.00091051961548,0.605497513009,liquid,0.0721245903079,0.00298759196563,2444.022508517
25.01,0.101325,997.045071056,0.00100296368643,104.860307506,104.961932802,0.367339881193,4.13752536835,4.1813108794,1496.72813907,-0.221460282827,0.00088987977002,0.607212057671,liquid,0.0719706631612,0.00317181953359,2441.652470215
