Ubar_0*kappa_x,~G
191875.006301,6.08168144965E-06
194718.164125,7.30979715297E-06
197683.543865,4.1246263829E-06
200636.941728,3.95943425535E-06
205165.70513,3.22757051698E-06
206701.669347,2.91405028308E-06
212926.395957,2.63098482516E-06
217723.017532,2.32736181901E-06
220987.9071,2.01712925354E-06
227637.870844,1.89717113732E-06
229359.65553,1.48455958432E-06
232786.295417,1.4251026703E-06
241565.316587,1.4251026703E-06
252593.584003,9.46959403303E-07
258292.280269,7.87861183576E-07
264110.865226,6.96939799803E-07
272046.565681,7.11329804554E-07
276059.54479,9.66511666377E-07
278193.275951,5.56624259241E-07
284472.635654,4.53737562565E-07
288741.638888,3.85299829266E-07
297433.704183,3.55055184016E-07
304110.71721,3.62386155481E-07
310886.542373,5.0255480761E-07
313282.597386,3.01501821908E-07
320353.990866,2.45772079657E-07
325193.509022,1.73638078171E-07
334986.563406,1.56771196225E-07
344893.168201,3.77505320532E-07
352844.207056,1.27793532665E-07
368234.147722,3.22757051698E-06
377193.940597,1.0632299922E-07
385737.50865,7.51172438938E-08
391569.049997,5.19967658015E-08
400293.51537,7.21087829612E-08
406127.099579,1.35873916739E-07
418508.665852,6.24968298268E-08
434315.579473,5.6426003302E-08
440519.515244,1.8088245747E-07
444109.192979,4.79152074505E-08
